Strategy,Address,GitHub,Vault
StrategyCurve3CrvVoterProxy,0xC59601F0CC49baa266891b7fc63d2D5FE097A79D,StrategyCurve3CrvVoterProxy.sol,curve.fi/3pool LP
StrategyMKRVaultDAIDelegate,0x932fc4fd0eee66f22f1e23fba74d7058391c0b15,StrategyMKRVaultDAIDelegate.sol,WETH
StrategyYFIGovernance,0x395f93350d5102b6139abfc84a7d6ee70488797c,StrategyYFIGovernance.sol,YFI
StrategyCurveYCRVVoter,0xc999fb87aca383a63d804a575396f65a55aa5ac8,StrategyCurveYCRVVoter.sol,curve.fi/y LP
StrategyCurveYBUSD,0xb15ee8e74dac2d77f9d1080b32b0f3562954aee9,StrategyCurveYBUSD.sol,curve.fi/busd LP
StrategyCurveSBTC,0x4feeaeced575239b46d70b50e13532ecb62e4ea8,StrategyCurveSBTC.sol,curve.fi/sbtc LP
StrategyDAICurve,0xaa880345a3147a1fc6889080401c791813ed08dc,StrategyDAICurve.sol,DAI
StrategyTUSDCurve,0x1d91e3f77271ed069618b4ba06d19821bc2ed8b0,StrategyTUSDCurve.sol,TUSD
StrategyDForceUSDC,0xa30d1d98c502378ad61fe71bcdc3a808cf60b897,StrategyDForceUSDC.sol,USDC
StrategyDForceUSDT,0x787c771035bde631391ced5c083db424a4a64bd8,StrategyDForceUSDT.sol,USDT
